"","Status","student_id","Last_names","First_names","Grade_lv","Academy","PAT","IEP","ELL","ETH","INT","student_email","contact","A","B","C","D","total","F","Attend","credits","teacher_period1","class_period1","grade_period1","percent_period1","teacher_period2","class_period2","grade_period2","percent_period2","teacher_period3","class_period3","grade_period3","percent_period3","teacher_period4","class_period4","grade_period4","percent_period4","teacher_period5","class_period5","grade_period5","percent_period5","teacher_period6","class_period6","grade_period6","percent_period6","teacher_period7","class_period7","grade_period7","percent_period7","teacher_period8","class_period8","grade_period8","percent_period8"
"0","In-Person",1,"_1","Student",11,"academy_6","teacher_99",NA,"Monitoring","U",0,"email","parent",0,0,0,0,0,0,"82.7%",9,"teacher_32","Geography","B",85,"teacher_48","Algebra 2","A",98,"teacher_18","Painting","F",34,"teacher_40","Biology","F",42,"teacher_79","Engineering","B",85,"teacher_77","English 1","C",79,"teacher_78","Personal finance","B",85,"teacher_26","American History","A",95
"0","In-Person",2,"_2","Student",9,"academy_2","teacher_58",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"94.2%",2,"teacher_83","Run/Ski","F",30,"teacher_38","Forensics","B",87,"teacher_12","acting","B",84,"teacher_39","Culinary Arts","B",81,"teacher_1","Statistics","B",85,"teacher_24","World History","B",83,"teacher_59","Pre-Calc","F",59,"teacher_55","Environmental Science","A",90
"0","In-Person",3,"_3","Student",12,"academy_5","teacher_41",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"98.4%",8,"teacher_55","Environmental Science","B",86,"teacher_22","English 2","B",87,"teacher_32","Geography","D",62,"teacher_24","Drawing","C",79,"teacher_84","Economics","D",67,"teacher_38","Forensics","B",86,"teacher_95","Auto-Cad","D",66,"teacher_83","Run/Ski","A",90
"0","In-Person",4,"_4","Student",10,"academy_2","teacher_89",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"91.8%",6,"teacher_95","Auto-Cad","F",35,"teacher_15","Wood shop","D",65,"teacher_77","English 1","F",57,"teacher_24","World History","D",69,"teacher_24","Drawing","B",85,"teacher_39","Culinary Arts","B",80,"teacher_81","Metal Shop","F",54,"teacher_63","Sports","B",88
"0","In-Person",5,"_5","Student",11,"academy_6","teacher_47",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"92.7%",9,"teacher_24","Drawing","D",65,"teacher_62","Speech","B",81,"teacher_22","English 2","B",81,"teacher_24","Trigonometry","B",85,"teacher_26","American History","F",59,"teacher_24","World History","C",76,"teacher_78","Personal finance","A",97,"teacher_45","Sculpting","A",99
"0","In-Person",6,"_6","Student",11,"academy_1","teacher_33",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"94%",2,"teacher_24","Trigonometry","A",90,"teacher_63","English 3","C",72,"teacher_45","Sculpting","F",45,"teacher_31","Genetics","A",92,"teacher_62","Speech","A",91,"teacher_79","Engineering","C",76,"teacher_25","Physics","A",96,"teacher_39","Culinary Arts","A",93
"0","In-Person",7,"_7","Student",10,"academy_6","teacher_86","Yes","No Services","I",0,"email","parent",0,0,0,0,0,0,"89.2%",24,"teacher_47","Geometry","B",87,"teacher_78","Personal finance","A",91,"teacher_81","Metal Shop","B",82,"teacher_63","English 3","B",85,"teacher_22","English 2","A",96,"teacher_84","Economics","B",86,"teacher_38","Forensics","A",96,"teacher_40","Biology","B",88
"0","In-Person",8,"_8","Student",9,"academy_3","teacher_86",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"73.3%",1,"teacher_79","Engineering","C",71,"teacher_51","Auto Shop","B",89,"teacher_95","Auto-Cad","A",93,"teacher_41","PE","B",88,"teacher_25","Physics","D",68,"teacher_59","Home Economics","A",95,"teacher_22","English 2","D",62,"teacher_77","English 1","D",69
"0","In-Person",9,"_9","Student",9,"academy_5","teacher_19",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"95.1%",2,"teacher_68","Algebra 1","C",72,"teacher_87","Calculus","B",83,"teacher_22","English 2","F",48,"teacher_45","Sculpting","B",80,"teacher_63","English 3","A",90,"teacher_24","Trigonometry","B",85,"teacher_15","Wood shop","B",87,"teacher_81","Programming","B",82
"0","In-Person",10,"_10","Student",11,"academy_3","teacher_21","Yes","No Services","P",0,"email","parent",0,0,0,0,0,0,"96.7%",16,"teacher_62","Speech","F",46,"teacher_68","Algebra 1","C",77,"teacher_24","Trigonometry","B",84,"teacher_55","Environmental Science","B",82,"teacher_31","Genetics","D",67,"teacher_81","Programming","A",92,"teacher_83","Run/Ski","D",63,"teacher_25","Physics","C",74
